Brnd_Name,Total # of Manufacturers,2018 Spent on Drug,2019 Spent on Drug,2020 Spent on Drug,2021 Spent on Drug,2022 Spent on Drug
Saphris,1,"$102,270,270.55","$91,484,185.09","$84,238,913.31","$34,268,349.63","$21,742,457.70"
Taltz Autoinjector,1,"$31,043,431.64","$57,848,790.81","$97,723,367.68","$199,422,818.35","$292,404,837.30"
Sarclisa,1,$0.00,$0.00,"$222,521.64","$2,669,295.52","$3,877,733.94"
Savella,1,"$15,482,830.50","$15,609,917.50","$16,060,480.75","$16,125,057.53","$16,322,782.86"
Samsca,1,"$7,729,351.27","$8,257,405.95","$7,980,036.51","$4,150,810.06","$3,052,791.71"
Talicia,1,$0.00,$0.00,"$560,538.07","$1,548,280.15","$3,768,854.27"
Saxenda,1,"$6,938,713.47","$10,140,968.61","$13,680,670.94","$22,263,210.11","$80,286,982.03"
Scemblix,1,$0.00,$0.00,$0.00,"$765,964.47","$17,672,186.77"
Se-Natal 19,1,"$242,557.71","$287,291.17","$311,810.15","$352,369.17","$320,372.00"
Tagrisso,1,"$53,465,890.21","$86,155,701.13","$104,914,070.79","$119,518,010.25","$134,767,453.55"
Se-Natal-19,1,"$775,128.28","$958,121.18","$942,557.10","$1,042,466.38","$1,033,902.99"
Se-Tan Plus,1,"$47,486.85","$32,698.01","$30,278.54","$29,048.89","$25,568.06"
Sancuso,1,"$3,094,174.82","$3,168,880.58","$2,902,265.00","$3,262,380.37","$3,323,427.11"
Taltz Autoinjector (2 Pack),1,"$11,480,371.31","$16,206,047.78","$22,123,037.29","$50,050,274.90","$59,627,233.03"
Targretin*,1,"$2,471,576.46","$3,670,685.59","$3,403,891.04","$3,276,232.05","$1,899,073.97"
Saccharomyces Boulardii,1,$0.00,$0.00,$0.00,$0.00,$578.90
Rydapt,1,"$10,145,241.40","$12,946,655.86","$12,536,922.70","$12,347,372.83","$9,080,024.49"
Rylaze,1,$0.00,$0.00,$0.00,"$1,040,220.75","$24,834,701.65"
Ryplazim,1,$0.00,$0.00,$0.00,$0.00,"$388,102.80"
Targadox,1,$0.00,$0.00,$0.00,$0.00,"$25,322.51"
Rytary,1,"$2,050,742.17","$2,726,689.18","$3,247,430.62","$4,089,460.02","$4,905,133.10"
Ryvent,1,"$125,719.81","$142,739.07","$381,337.15","$574,416.82","$1,047,219.04"
Sabril,1,"$216,854,834.73","$186,592,638.39","$187,775,487.91","$200,295,914.68","$207,598,336.05"
Safyral,1,"$620,558.89","$239,420.57","$141,023.35","$103,457.98","$72,490.26"
Taltz Autoinjector (3 Pack),1,"$6,328,267.55","$8,290,403.47","$10,696,953.24","$28,440,693.92","$31,525,208.87"
Saizen,1,"$4,845,964.65","$1,708,942.75","$1,295,967.42","$735,152.43","$655,792.90"
Saizen-Saizenprep,1,"$3,025,704.84","$2,876,806.65","$1,775,410.10","$1,099,843.35","$879,203.11"
Sajazir,1,$0.00,$0.00,$0.00,$0.00,"$855,480.71"
Salex,1,"$76,134.28","$88,097.85","$66,465.05","$57,971.90","$4,213.18"
Talzenna,1,$0.00,"$2,106,022.37","$3,705,856.36","$2,783,253.01","$3,660,836.89"
Saline Mist,1,"$4,287.72","$4,954.16","$4,838.21","$5,003.01","$4,569.15"
Taltz Syringe,1,"$3,905,913.15","$7,419,479.25","$11,436,227.77","$25,212,172.09","$32,964,398.53"
Tecfidera,1,"$300,177,894.79","$334,670,461.22","$285,320,235.71","$135,998,788.73","$86,044,486.71"
Rivelsa,1,"$72,278.23","$53,474.46","$42,730.34","$40,352.14","$44,219.83"
Polyvinyl Alcohol,1,$0.00,$65.45,$199.56,$614.09,$408.95
Thrombate III,1,"$460,395.85","$233,961.10","$675,223.96","$2,714,967.13","$1,177,845.27"
Rezurock,1,$0.00,$0.00,$0.00,"$1,724,371.33","$14,021,579.36"
Rhofade,1,$0.00,$0.00,$0.00,"$543,141.77","$1,164,316.30"
Rhogam,1,"$9,160.59","$2,648.42","$1,228.81",$0.00,$916.50
Rhogam Ultra-Filtered Plus,1,"$3,922,684.35","$3,973,631.98","$4,087,827.55","$4,283,720.95","$3,937,106.63"
Thyquidity,1,$0.00,$0.00,$0.00,"$59,098.09","$138,931.57"
Thymoglobulin,1,"$139,833.43","$193,362.49","$175,062.34","$165,340.84","$423,486.31"
Thrombin-Jmi*,1,"$279,992.04","$637,559.22","$1,016,155.36","$1,152,056.04","$1,171,117.02"
Rhophylac,1,"$1,945,811.02","$1,916,069.01","$2,200,623.55","$2,243,388.30","$2,105,695.16"
Reyataz,1,"$22,781,551.38","$8,341,680.64","$3,554,576.30","$2,020,137.22","$578,281.68"
Thrivite Rx,1,"$10,644.23","$59,242.21","$214,063.43","$214,147.74","$138,445.18"
Rhopressa,1,"$696,701.96","$4,343,262.29","$6,267,228.89","$7,629,261.31","$9,554,354.75"
Riabni,1,$0.00,$0.00,$0.00,"$742,437.11","$3,879,269.01"
Riastap,1,"$476,647.47","$372,647.19","$528,644.38","$579,989.81","$677,121.37"
Thiola EC,1,$0.00,"$1,790,755.88","$9,118,250.43","$11,643,206.35","$12,894,016.51"
Ridaura,1,"$168,443.87","$145,896.77","$130,039.19","$68,353.46","$70,498.92"
Thiola,1,"$9,429,327.80","$8,361,786.27","$3,686,910.77","$2,724,934.25","$2,101,346.32"
Reyvow,1,$0.00,$0.00,"$1,029,970.42","$2,763,523.70","$3,777,030.03"
Rexulti,1,"$184,027,865.57","$243,285,740.62","$282,852,543.03","$328,221,369.41","$388,301,903.76"
Therems,1,$777.43,$832.59,$695.85,$249.78,$187.37
Tiazac,1,"$3,183.19","$2,486.26",$0.00,"$3,886.21","$5,194.13"
Repatha Syringe,1,$0.00,"$635,730.53","$2,277,562.36","$3,596,670.53","$6,016,941.15"
Tiglutik,1,$0.00,"$71,243.18","$146,459.01","$280,326.65","$265,477.20"
Tigan,1,"$250,464.26","$153,224.16","$135,029.68","$187,116.51","$169,851.11"
Restasis,1,"$79,488,990.86","$105,307,149.10","$126,222,269.02","$149,405,164.57","$110,015,689.96"
Restasis Multidose,1,"$27,000,693.77","$8,446,656.94","$4,236,248.98","$5,672,084.00","$6,580,362.34"
Restoril,1,"$70,198.79","$87,404.17","$57,303.03","$47,791.81","$40,980.52"
Retavase,1,$0.00,$0.00,"$47,705.61","$59,853.29","$91,277.23"
Retevmo,1,$0.00,$0.00,"$3,266,488.55","$9,748,009.97","$11,884,896.32"
Revlimid,1,"$279,544,491.52","$336,645,077.85","$381,107,479.32","$439,613,568.94","$417,292,991.26"
Retin-A,1,"$23,115,656.54","$11,175,173.14","$10,599,316.32","$17,741,064.68","$24,804,177.35"
Retin-A Micro,1,"$199,918.42","$139,967.19","$239,958.63","$529,908.03","$663,845.29"
Retin-A Micro Pump,1,"$815,068.60","$1,245,365.74","$1,187,965.52","$1,369,053.23","$1,709,137.05"
Retrovir*,1,"$19,558.12","$3,653.34","$8,727.94","$8,498.56","$18,677.98"
Revatio,1,"$110,171,034.55","$78,163,370.63","$38,814,434.03","$40,662,734.43","$34,161,171.79"
Tiadylt ER,1,$0.00,$0.00,"$200,558.23","$435,177.95","$494,182.61"
Thyrogen,1,"$4,625,644.97","$4,544,693.28","$3,813,921.27","$4,751,461.94","$3,830,721.04"
Therems-M,1,"$6,099.37","$8,050.85","$8,632.52","$8,097.90","$10,183.12"
Therapeutic-M,1,"$1,031.41","$4,624.29","$15,673.06","$12,733.64",$966.97
Tegretol,1,"$11,128,974.99","$11,188,479.87","$9,760,272.52","$8,873,240.13","$7,674,916.77"
Telmisartan-Amlodipine,1,"$24,402.56","$29,966.52","$84,250.93","$125,867.15","$246,976.45"
Risaquad-2,1,"$5,219.83","$5,022.22","$3,328.66","$4,686.57","$3,209.52"
Risperdal,1,"$8,246,336.52","$8,136,246.12","$7,461,998.91","$5,867,035.28","$2,643,654.03"
Risperdal Consta,1,"$120,116,739.07","$115,479,641.35","$104,342,781.00","$96,947,897.50","$88,792,045.16"
Tepezza,1,$0.00,$0.00,"$33,126,800.30","$91,696,453.60","$133,650,133.88"
Tenormin,1,"$138,943.92","$102,488.48","$125,102.06","$118,769.13","$105,325.62"
Tenivac,1,"$20,953.40","$4,767.59","$4,339.62","$4,248.66","$1,745.77"
Temodar*,1,"$887,305.90","$747,198.94","$814,763.02","$612,114.78","$565,581.56"
Tekturna HCT,1,"$80,411.67","$90,846.02","$69,197.45","$65,280.67","$46,351.11"
Risaquad,1,$519.94,"$3,972.39","$1,900.80","$1,465.66","$2,085.14"
Ritalin,1,"$217,430.49","$208,247.16","$181,768.99","$170,312.98","$173,909.70"
Tekturna,1,"$574,907.29","$275,345.56","$107,345.73","$93,749.89","$89,559.82"
Tegsedi,1,$0.00,"$1,067,634.93","$1,151,499.92","$1,687,176.64","$1,561,765.23"
Ritalin La,1,"$4,900,020.52","$3,029,511.95","$2,692,207.33","$3,985,312.51","$5,564,419.79"
Tegretol XR,1,"$9,107,626.66","$8,274,324.97","$6,931,415.98","$8,751,444.79","$9,871,665.21"
Rituxan,1,"$200,806,636.73","$196,257,758.60","$173,068,509.92","$120,640,812.27","$84,837,140.06"
Rituxan Hycela,1,"$3,091,892.57","$7,821,496.53","$6,850,545.03","$4,877,224.11","$3,335,203.32"
Tepmetko,1,$0.00,$0.00,$0.00,"$385,503.91","$797,494.04"
Risacal-D,1,$392.34,$348.40,$386.95,$169.01,$302.92
Thera-M,1,"$34,863.53","$38,629.98","$49,823.81","$33,022.27","$78,822.07"
Texacort,1,"$260,535.54","$264,763.35","$226,635.89","$146,657.93","$112,711.46"
Thera M Plus,1,"$1,098.95","$2,313.17","$11,603.74","$3,467.28","$3,622.11"
Thera,1,"$6,746.51","$5,925.23","$5,633.98","$4,517.47","$4,196.22"
Theo-24,1,"$2,633,396.36","$2,519,968.82","$2,647,495.55","$2,601,226.17","$2,358,405.07"
Thalomid,1,"$5,067,813.96","$5,061,380.22","$5,565,042.60","$7,037,450.48","$6,427,761.60"
Thallous Chloride Tl-201,1,$838.48,"$45,716.71","$122,249.40","$93,526.64","$32,100.14"
Thalitone,1,$0.00,$0.00,$0.00,"$9,292.38","$262,932.05"
Tezspire,1,$0.00,$0.00,$0.00,$0.00,"$14,384,663.09"
Testopel,1,"$545,003.09","$487,200.15","$328,703.40","$473,912.35","$586,590.98"
Teriparatide,1,$0.00,$0.00,"$48,402.27","$2,927,926.35","$7,097,163.73"
Testim,1,"$284,862.08","$161,771.23","$170,295.30","$171,802.38","$234,929.87"
Tessalon Perle,1,"$3,694.10","$5,584.17","$3,640.09","$11,433.66","$7,885.32"
Rimantadine HCl,1,"$10,405.03","$8,568.94","$6,390.43","$4,162.61","$5,616.39"
Rimso-50,1,"$918,501.95","$908,329.27","$879,419.85","$863,134.36","$712,939.92"
Rinvoq,1,$0.00,"$1,776,567.64","$37,913,235.05","$95,196,360.33","$166,309,303.12"
Riomet,1,"$3,769,799.35","$4,349,136.05","$2,816,433.07","$501,143.91","$73,213.72"
Risa-Bid,1,"$5,033.36","$4,387.68","$3,927.86","$3,660.10","$3,220.07"
Sea-Omega,1,"$1,694.07","$1,364.36",$547.31,$853.61,"$1,645.81"
Tafluprost,1,$0.00,$0.00,$0.00,$0.00,"$7,518.19"
Seasonique,1,"$2,642,494.81","$2,545,527.98","$3,108,728.56","$3,587,294.67","$3,278,322.92"
Sofosbuvir-Velpatasvir,1,$0.00,"$197,446,863.02","$349,140,747.48","$388,155,049.32","$416,937,291.16"
Subvenite (Green),1,$0.00,"$21,331.44",$0.00,"$21,210.55","$25,239.25"
Subvenite (Blue),1,$0.00,"$6,947.66","$8,724.37","$6,071.62","$8,724.68"
Subvenite,1,$440.46,"$25,143.19","$19,040.18","$12,476.76","$13,452.26"
Suboxone,1,"$782,916,656.81","$807,845,565.94","$858,047,641.17","$964,123,787.02","$984,991,243.64"
Sublocade,1,"$6,535,552.38","$41,840,036.11","$100,484,337.06","$191,915,675.55","$333,116,947.45"
Strovite One,1,"$884,763.78","$436,134.61","$353,312.02","$155,655.90","$170,724.98"
Sodium Tetradecyl Sulfate,1,$0.00,$0.00,$0.00,$0.00,$780.52
Strovite Forte,1,$565.19,$0.00,$740.14,$842.88,$537.24
Subvenite (Orange),1,"$54,945.10","$189,023.84","$224,317.35","$195,980.80","$222,098.87"
Soliqua 100-33,1,"$3,510,583.32","$5,495,475.30","$7,761,872.50","$9,595,993.52","$10,025,381.71"
Stromectol,1,"$29,049.37","$24,242.36","$20,117.65","$28,012.10","$20,227.81"
Soliris,1,"$137,677,422.82","$137,804,922.39","$147,021,375.79","$135,450,191.20","$125,163,952.94"
Solodyn,1,"$1,163,279.44","$253,115.48","$9,745.30","$4,074.88","$2,754.70"
Solosec,1,"$432,026.57","$1,190,607.99","$1,067,101.81","$655,636.25","$622,954.34"
Soltamox,1,$0.00,$0.00,$0.00,"$16,869.12","$151,562.68"
Striverdi Respimat,1,"$881,368.13","$1,077,810.66","$902,767.65","$833,746.79","$896,295.62"
Sodium Fluoride Sensitive,1,$0.00,$0.00,"$44,523.24","$238,251.61","$276,765.43"
Sodium Fluoride Enamel Protect,1,$0.00,$0.00,$0.00,"$30,104.50","$95,285.00"
Soma,1,"$105,830.66","$87,167.42","$89,980.75","$71,440.27","$61,092.18"
Skyrizi Pen,1,$0.00,$0.00,$0.00,"$37,442,836.05","$265,508,259.85"
Sumadan,1,"$18,728.64","$54,735.43","$44,377.47","$40,158.88","$10,153.33"
Sitavig,1,$0.00,"$38,332.47","$98,311.79","$26,370.28","$29,866.67"
Skelaxin,1,"$105,338.19","$75,145.01","$36,582.79","$37,535.25","$51,185.75"
Sklice,1,"$66,598,650.06","$32,524,163.72","$138,524.44","$9,396.09","$9,274.38"
Skyla,1,"$11,164,388.54","$8,683,381.34","$8,057,435.75","$8,139,167.76","$6,124,999.09"
Skyrizi (2 Syringes) Kit,1,$0.00,"$11,460,342.96","$79,064,114.33","$113,746,654.65","$323,254.97"
Skyrizi On-Body,1,$0.00,$0.00,$0.00,$0.00,"$2,397,239.23"
Skyrizi*,1,$0.00,$0.00,$0.00,"$35,241,522.19","$116,986,616.89"
Sodium Fluoride 5000 Dry Mouth,1,$0.00,$0.00,$0.00,"$13,938.00","$83,824.02"
Skytrofa,1,$0.00,$0.00,$0.00,$0.00,"$9,457,916.00"
Slow-Mag,1,"$7,774.53","$12,323.26","$18,520.22","$19,828.29","$22,246.61"
Slynd,1,$0.00,"$246,735.52","$5,602,498.35","$15,500,816.27","$28,426,639.60"
Smoflipid,1,"$2,655,884.03","$4,349,119.30","$5,874,247.66","$6,650,619.26","$7,915,534.09"
Sulfasalazine Dr,1,"$998,098.77","$1,082,012.87","$909,494.38","$461,405.07","$678,220.20"
Sulfacetamide-Prednisolone,1,"$58,236.52","$80,986.72","$76,241.00","$73,548.18","$112,683.13"
Sulconazole Nitrate,1,$0.00,$0.00,$0.00,"$23,539.33","$245,064.19"
Stribild,1,"$146,859,163.10","$86,307,496.51","$50,269,107.91","$37,760,795.07","$29,439,836.04"
Somatuline Depot,1,"$23,507,117.79","$28,314,449.90","$36,539,299.60","$44,711,912.02","$42,667,118.55"
Secuado,1,$0.00,$0.00,"$308,709.42","$1,595,273.89","$2,521,327.66"
Sprintec,1,"$11,134,918.25","$9,827,001.70","$9,846,902.74","$7,630,668.06","$6,233,980.14"
Spiriva Respimat,1,"$146,858,916.46","$174,868,547.71","$203,919,408.69","$224,710,281.65","$241,111,681.57"
Stiolto Respimat,1,"$29,539,963.69","$52,448,707.14","$64,674,732.43","$70,703,633.45","$73,282,786.65"
Stevia,1,$0.00,$0.00,$0.00,$619.84,"$2,017.15"
Sterile Pads,1,"$1,838.22","$1,555.20","$1,116.69",$900.28,$933.67
Sporanox,1,"$1,865,446.83","$363,811.83","$211,952.01","$180,178.60","$224,705.65"
Stelara*,1,"$341,446,867.60","$512,511,972.52","$729,746,581.99","$1,070,548,499.20","$1,401,571,709.80"
Spravato,1,$0.00,"$2,818,866.15","$13,092,961.00","$27,840,596.90","$47,820,761.86"
Steglujan,1,"$37,199.70","$550,457.83","$1,589,475.43","$2,382,415.11","$2,304,201.13"
Spinraza,1,"$238,255,986.75","$234,119,057.63","$201,336,808.57","$149,822,163.61","$115,162,253.66"
Spritam,1,"$472,831.72","$44,798.98","$288,578.82","$544,898.15","$885,853.07"
Sprix,1,"$404,169.53","$504,390.74","$429,875.35","$215,417.58","$324,348.79"
Steglatro,1,"$9,503,637.81","$81,416,077.31","$129,355,230.43","$166,693,884.00","$180,854,388.62"
Stalevo 150,1,$0.00,$0.00,$0.00,$0.00,"$45,993.27"
Sprycel,1,"$161,465,523.94","$176,101,020.99","$197,037,261.55","$228,020,750.85","$249,931,331.50"
Sps*,1,"$611,114.71","$630,794.63","$1,533,465.35","$2,232,860.47","$2,142,914.40"
Sronyx,1,"$1,332,921.11","$1,277,610.46","$1,299,794.77","$1,364,208.49","$1,367,897.39"
Spiriva Handihaler,1,"$286,067,794.16","$292,126,348.27","$320,089,617.35","$357,172,540.71","$323,997,317.01"
Spinosad,1,"$15,595,605.30","$12,636,953.27","$9,639,059.55","$6,811,026.56","$7,733,976.52"
Stress Formula With Zinc,1,$630.14,$788.20,$390.34,$27.20,$55.23
Sosweet Syrup Vehicle,1,$0.00,$0.00,"$13,015.20","$24,383.26","$15,981.50"
Somavert,1,"$7,052,224.02","$7,451,148.12","$7,390,832.79","$7,574,940.63","$8,037,723.04"
Soolantra,1,"$1,675,811.83","$2,223,785.48","$1,602,543.58","$1,789,001.78","$775,855.67"
Stress Formula,1,$598.66,$610.61,$806.92,$770.35,$721.88
Streptomycin Sulfate,1,"$207,601.92","$96,534.75","$154,996.12","$1,229,605.36","$2,187,802.40"
Soriatane,1,"$802,364.03","$410,185.37","$910,737.71","$1,057,936.78","$32,849.78"
Sorilux,1,"$912,505.83","$813,036.21","$553,574.98","$349,179.95","$216,657.17"
Sorine,1,$248.84,"$86,376.09","$73,918.15","$105,223.33","$39,972.83"
Strensiq,1,"$47,081,287.65","$53,092,357.67","$66,958,420.80","$92,457,941.21","$120,231,549.18"
Sovaldi,1,"$2,759,295.34","$1,975,769.06","$1,991,567.63","$1,825,579.65","$1,018,660.30"
Strattera,1,"$38,037,801.54","$11,400,477.76","$9,660,119.96","$21,634,255.13","$17,595,066.77"
Sotradecol,1,"$12,347.01","$15,383.00","$25,723.37","$133,679.93","$62,226.06"
Sotrovimab (Eua),1,$0.00,$0.00,$0.00,"$63,782.49","$95,053.48"
Stool Softener-Laxative,1,"$37,502.89","$67,292.47","$11,639.56","$11,316.17","$3,622.50"
Sotyktu,1,$0.00,$0.00,$0.00,$0.00,"$355,591.83"
Sotylize,1,"$1,268,209.89","$1,357,640.58","$1,683,276.63","$1,789,723.26","$1,909,650.51"
Stivarga,1,"$27,956,262.74","$28,114,351.28","$36,162,612.21","$33,506,328.49","$32,166,425.87"
Sirturo,1,"$693,719.15","$930,226.54","$1,101,139.95","$950,408.11","$948,099.60"
Sinuva,1,"$32,704.86","$67,003.29","$196,883.26","$290,046.01","$237,123.18"
Single Use Swab,1,$0.00,$0.00,"$1,614.23","$3,433.81",$964.37
Symproic,1,$0.00,"$533,444.92","$2,057,019.47","$2,642,298.92","$3,267,027.14"
Synjardy XR,1,"$2,630,394.92","$5,966,252.55","$8,826,239.75","$13,081,651.61","$20,318,197.39"
Synjardy,1,"$6,792,067.04","$8,675,692.01","$12,568,849.95","$18,407,838.97","$26,018,148.35"
Synera,1,"$214,558.26","$273,636.26","$377,222.10","$149,199.50","$69,955.56"
Synarel,1,"$229,523.07","$362,381.86","$165,305.18","$345,774.33","$225,997.25"
Semglee Pen,1,$0.00,$0.00,"$906,318.91","$26,528,793.83","$1,254,571.09"
Synalar,1,"$20,284.27","$8,136.90",$0.00,$0.00,"$7,726.54"
Symtuza,1,"$16,489,102.85","$173,871,406.88","$267,759,528.88","$309,030,448.69","$322,532,324.54"
Senna-S,1,$0.00,$0.00,$0.00,$0.00,$270.22
Synribo,1,"$1,272,402.92","$1,335,441.99","$1,283,988.38","$858,394.15","$241,880.12"
Sympazan,1,$0.00,"$1,886,413.83","$4,734,282.11","$7,560,301.92","$9,564,854.90"
Symlinpen 60,1,"$835,406.77","$725,929.22","$651,320.19","$713,359.41","$640,302.74"
Sensipar,1,"$122,295,565.57","$54,662,777.62","$21,677,736.44","$16,763,947.72","$11,610,206.15"
Symlinpen 120,1,"$1,134,531.46","$852,571.03","$678,280.85","$690,863.17","$559,350.43"
Symfi,1,"$187,629.56","$1,169,055.61","$973,294.18","$697,463.19","$633,553.67"
Symdeko,1,"$132,251,335.71","$267,943,108.92","$110,573,093.98","$70,847,513.85","$17,097,444.79"
Symbyax,1,"$516,923.57","$417,338.72","$263,384.18","$154,947.84","$85,329.57"
Semglee (Yfgn) Pen,1,$0.00,$0.00,$0.00,"$172,882.69","$6,611,916.84"
Synthroid,1,"$18,812,404.05","$22,073,472.26","$23,304,951.99","$27,782,372.93","$27,230,929.98"
Sinemet 25-100,1,$0.00,$0.00,$0.00,$0.00,"$4,658.08"
Selzentry,1,"$11,887,414.17","$11,221,645.29","$9,323,965.04","$8,143,069.44","$4,227,593.87"
Seglentis,1,$0.00,$0.00,$0.00,$0.00,"$60,354.73"
Segluromet,1,"$484,607.47","$4,336,860.49","$7,091,350.42","$9,232,745.51","$10,470,431.09"
Select-Ob + DHA,1,"$3,225,034.04","$2,115,992.75","$1,741,559.99","$1,780,907.66","$1,802,588.78"
Tafinlar,1,"$21,927,015.83","$24,171,782.05","$29,679,179.90","$32,890,223.24","$35,865,392.55"
Tadliq,1,$0.00,$0.00,$0.00,$0.00,"$121,910.84"
Taclonex,1,"$2,486,754.20","$2,997,018.97","$2,181,700.24","$1,817,891.03","$1,557,359.89"
Tabrecta,1,$0.00,$0.00,"$1,768,234.93","$3,677,444.76","$6,175,275.90"
Tab-A-Vite Multivit With Iron,1,"$13,159.05","$16,401.55","$25,862.90","$16,906.67","$7,201.09"
Semglee (Yfgn),1,$0.00,$0.00,$0.00,"$7,325.80","$650,290.81"
Tab-A-Vite,1,"$199,574.98","$193,211.94","$245,876.18","$69,146.94","$44,844.14"
Systane Contacts,1,$41.43,$220.21,$208.31,$150.11,$144.17
Syrspend SF,1,$0.00,$0.00,$0.00,$0.00,$98.45
Semglee,1,$0.00,$0.00,"$78,866.28","$1,545,956.53","$234,492.39"
Syprine,1,"$9,118,783.77","$3,016,818.06","$2,343,914.68","$1,794,033.93","$1,786,106.05"
Synvisc-One,1,"$273,158.26","$223,634.08","$267,492.60","$344,222.02","$250,712.94"
Synvisc,1,"$72,646.25","$106,324.10","$69,375.23","$100,571.11","$99,883.83"
Symbicort,1,"$563,419,581.71","$658,034,018.46","$508,974,066.79","$639,620,749.78","$701,870,058.85"
Sensorcaine-Epinephrine,1,"$26,522.12","$517,826.47","$593,498.93","$520,772.79","$580,772.31"
Sensorcaine-MPF,1,"$524,369.74","$2,332,120.33","$4,047,212.13","$7,181,480.82","$5,074,645.56"
Super B Complex-Vitamin C,1,$22.61,$0.00,$0.00,$0.00,$12.48
Suprane,1,"$267,025.08","$332,952.72","$305,221.19","$209,664.12","$33,017.99"
Signifor Lar,1,$0.00,$0.00,$0.00,"$1,086,058.50","$4,034,874.76"
Siklos,1,$0.00,"$609,473.72","$2,350,496.97","$3,837,813.31","$5,143,794.01"
Supprelin La,1,"$24,522,161.61","$28,067,615.53","$26,786,369.43","$31,615,091.99","$30,128,802.66"
Silenor,1,"$3,017,508.77","$3,398,847.48","$725,833.18","$380,569.06","$321,279.11"
Siliq,1,"$1,586,028.05","$3,990,727.63","$5,096,608.39","$4,878,828.48","$5,008,766.11"
Silvadene,1,"$51,137.85","$58,518.55","$46,595.41","$53,378.82","$39,962.61"
Silver Nitrate,1,"$4,288.01","$2,718.39","$3,383.28","$3,021.06","$3,908.59"
Sensorcaine-MPF Epinephrine,1,"$302,922.77","$2,509,973.57","$4,065,709.80","$3,458,003.08","$6,625,224.53"
Simbrinza,1,"$2,918,629.01","$3,446,350.87","$2,864,763.44","$2,485,397.97","$2,822,511.37"
Simpesse,1,$0.00,"$42,134.70","$279,015.71","$1,561,677.80","$1,235,993.77"
Simple Syrup,1,$0.00,$576.50,"$25,658.55","$26,229.85","$18,516.81"
Simponi,1,"$40,091,052.50","$41,155,697.65","$43,665,903.31","$48,589,123.32","$55,732,035.99"
Simponi Aria,1,"$25,639,973.38","$27,940,606.29","$29,570,493.01","$38,430,534.27","$38,425,738.66"
Simulect,1,"$1,032,575.79","$973,134.75","$738,209.40","$428,144.13","$724,847.43"
Super B Complex,1,$0.00,$0.00,$0.00,$0.00,$164.42
Suprax,1,"$7,741,339.63","$1,193,678.27","$208,930.88","$24,621.79","$14,599.97"
Sharobel,1,"$1,226,296.80","$429,723.21","$393,175.52","$344,435.44","$209,942.30"
Sfrowasa,1,$0.00,"$64,855.91","$38,201.56","$110,936.16","$154,868.76"
Sf 5000 Plus,1,"$1,215,850.57","$1,533,620.03","$1,141,116.44","$979,107.31","$811,406.52"
Sentry Senior,1,$0.00,$0.00,$0.00,$264.72,$292.13
Serevent Diskus,1,"$18,733,252.68","$19,906,449.79","$19,670,312.80","$17,350,547.95","$14,959,425.14"
Seroquel,1,"$5,878,414.65","$5,157,683.41","$4,798,653.98","$4,105,938.29","$3,636,302.12"
Seroquel XR,1,"$61,266,208.94","$9,808,654.57","$5,725,292.26","$4,596,301.54","$3,988,185.97"
Serostim,1,"$9,477,909.15","$12,012,679.52","$11,911,174.51","$11,804,864.16","$11,377,295.47"
Syeda,1,"$738,044.60","$1,336,693.50","$1,232,772.86","$1,246,097.90","$1,262,261.00"
Sutent,1,"$30,295,434.10","$27,871,455.74","$22,685,690.52","$14,434,001.03","$4,746,366.58"
Setlakin,1,"$455,876.26","$466,006.41","$536,378.93","$563,226.29","$436,016.35"
Sutab,1,$0.00,$0.00,$0.00,"$1,314,139.90","$3,540,742.94"
Sustol,1,"$4,054,567.71","$3,097,579.39","$621,572.74","$1,127,991.27","$1,700,827.73"
Sustiva,1,"$5,302,891.42","$2,271,101.07","$1,321,912.48","$934,026.15","$378,361.75"
Sevenfact,1,$0.00,$0.00,$0.00,"$8,990,146.87","$7,985,554.30"
Surgilube,1,$913.23,"$56,459.56","$105,009.02","$14,565.76","$4,325.13"
Suprep,1,"$6,006,401.80","$6,950,868.27","$8,282,548.80","$11,742,378.51","$6,744,274.33"
Sf,1,"$245,901.15","$309,539.97","$256,184.45","$56,786.38","$34,895.35"
Tikosyn,1,"$701,362.73","$564,690.80","$167,238.57","$28,520.02","$10,896.51"
Tilia Fe,1,"$310,613.54","$402,158.45","$306,574.04","$290,431.11","$285,152.11"
Repatha Sureclick,1,"$248,081.73","$7,124,851.13","$18,489,779.09","$28,758,783.85","$43,851,581.53"
True Metrix Glucose Test Strip,1,"$6,146,690.14","$9,083,560.18","$12,009,643.22","$6,262,075.60","$207,879.63"
Priftin,1,"$283,428.85","$461,336.05","$311,701.36","$387,205.26","$469,073.95"
Prilosec,1,"$3,737,414.93","$4,756,609.25","$5,357,567.98","$4,901,103.59","$4,363,910.56"
Primacare,1,"$343,195.92","$33,234.59","$25,718.28","$45,669.21","$155,157.77"
Trueplus Lancets,1,"$249,284.84","$449,051.96","$740,497.74","$396,506.61","$23,251.03"
Trueplus Lancet,1,$185.33,"$8,141.84","$10,452.21","$15,613.87","$1,084.29"
Trueplus Ketone Test Strip,1,"$30,166.72","$38,460.85","$40,026.08","$26,136.11","$3,512.54"
Trueplus Glucose,1,$600.72,"$1,387.54","$1,155.33",$686.25,$194.84
Primaxin,1,"$151,431.70","$123,092.05","$107,615.79","$68,293.23","$173,567.51"
Prialt,1,"$631,537.19","$585,290.97","$303,202.26","$123,412.86","$28,673.66"
